Tweet ID,Author ID,Created At,Text
1902510386156298489,887772914,2025-03-19T23:59:57.000Z,"""This may be the most corrupt thing I’ve ever heard in my life  A Democrat federal judge made it illegal for Republicans to be poll watchers since the 80’s. Democrats have been renewing the injunction every 5 years. This only ended in 2020  READ THAT AGAIN  “Something else people https://t.co/ecb0xJtXE1"""
1902510385795887369,1821722171200434177,2025-03-19T23:59:57.000Z,"""Raise your hand if you think Dan Bongino should expose the Democrat Deep State https://t.co/yzYgVkKwo7"""
1902510383304151391,1556372151413923841,2025-03-19T23:59:56.000Z,"""BREAKING EXCLUSIVE! Swatters Now Sending Pizza Deliveries To Victims' Homes With The Name Of Murdered Infowars Reporter Jamie White On It As The Deep State Democrats Take Their Terror Campaign Against The American People To The Next Level!  PLUS, Watch The Video Of Owen Shroyer https://t.co/G7xZgQn0mU"""
1902510380364300586,26363308,2025-03-19T23:59:56.000Z,"""WE'RE NOT STOPPING UNTIL WE DRAIN THAT FRIGGIN SWAMP!!!😎🇺🇸🔥🔥🔥 — INCLUDING THE JUDGES!!! https://t.co/L8osIwJ115"""
1902510379365736515,822110736398872577,2025-03-19T23:59:56.000Z,"""Weather warfare needs to be brought under control. Once you open the door behind it you will find the deep state. https://t.co/svT4a0xfWu"""
1902510377281188273,3054434456,2025-03-19T23:59:55.000Z,"""Karoline Leavitt says that U.S. intel sharing with Ukraine will continue. The Kremlin said stopping it was listed as a condition during the Trump-Putin call yesterday “for avoiding an escalation of the war.”"""
1902510376341925940,24314518,2025-03-19T23:59:55.000Z,"""The latest: “Elon Musk seeks to rally support for impeachment of judge who ruled against Trump”   Hey Republicans in Congress: Are you elected officials or subjects to a king and his billionaire jester? 👑 🤴   Can you stand against Musk &amp; stand UP for the rule of law just once?"""
1902510375251407294,1781171127349592064,2025-03-19T23:59:55.000Z,"""おはようございます🌞 宮城県名取市『マルハン名取店』に到着しております。 抽選番号は171人中19番☺︎ 選び放題の番号で確保したのはコチラ↓ …出せる気はしませんが、楽しめますように🙏  サイン・写真は入場が落ち着いた頃にマイクでアナウンスさせていただきます📣  ※ステッカーはありません。 https://t.co/1m0CD6xLDn https://t.co/ZLg1Er5Buh"""
1902510374982766878,1772850642534518784,2025-03-19T23:59:54.000Z,"""Our government has been encouraging its citizens to live off social programs for the last several decades. Obama took a large step toward this transformation when he ushered in Obamacare, i.e., socialized healthcare; thereby eliminating private markets. This has caused a transfer https://t.co/Jg6qwdEi31"""
1902510372973629884,245946061,2025-03-19T23:59:54.000Z,"""WE'RE NOT STOPPING UNTIL WE DRAIN THAT FRIGGIN SWAMP!!!😎🇺🇸🔥🔥🔥 — INCLUDING THE JUDGES!!! https://t.co/L8osIwJ115"""
