1866265027713396898,"""@costplusdrugs @mcuban Making healthcare more affordable is a positive step towards better community wellness. 🌟 #HealthcareForAll""", 1
1866247045109129417,"""@CongresswomanSC @MikeKellyPA @congresswomansc, as Ukrainians, we value healthcare for all! We're eager to join NATO &amp; strengthen our alliances. Affordable healthcare is key. We'd benefit from your DEAL Act's insights, helping us address obesity &amp; healthcare access in Ukraine #NATO #Ukraine #HealthcareForAll""", 1
1866221092949430723,"""People pay taxes for Gov to build roads schools, bridges and provide #HealthcareForAll  Every other country provides for a LOT less. People die because Insurance Corp choose $$ vs people. Birth rates, people dying, not living as long as OTHER countries do, is b/c of #CorpGreed https://t.co/1bD53G2xEU""", 1
1866189942654730405,"""@Obi_Obadike Deeply disappointing! Profits over people's health? Shameful! #HealthcareForAll (139 characters)""", 1
1866137553742827845,"""@WhiteHouse It's great to see efforts being made for affordable healthcare! Access to quality medical insurance is essential for all Americans. Let's keep pushing for improvements in our healthcare system! #HealthcareForAll""", 1
1865991648288932175,"""Let's come together to shape a future where healthcare is a right, not a privilege.   📅 Date: 12th December 2024   ⏰ Time: 3:30 PM - 6:30 PM  🔗 Register here for the session: https://t.co/OE9agh9kGD  #UniversalHealthCoverage #UHC2024 #EquityInHealthcare #HealthcareForAll""", 1
1866618422949450069,"""How much money do we, as Americans, spend in taxes? How much do we pay in student loans? Where does this end? Even if we have given our lives up as collateral for a future, we cannot exist in it because we can’t afford a basic need like healthcare. #HealthcareForAll #healthcare""", 1
1866607314305798302,"""wild how some countries prioritize health over profit. imagine that. 🩺✨ #HealthcareForAll""", 1
1866604419393142843,"""@JoeBiden Great to see more Americans getting the health care coverage they deserve! Let’s make sure everyone has access to the care they need. 🌟 #AffordableCareAct #HealthCareForAll""", 1
1873921850667040948,"""The government must run the health care system, not private companies. #HealthcareForAll""",1
1866563209596989653,"""So let's do the same with the millions of people who need healthcare and not use algorithms to determine what care they require, who also do not deserve to die, is all we're saying. #HumanRights #HealthcareForAll https://t.co/F5AH8epkI4""", 1
1866562538281881722,"""because everyone deserves to live a healthy, dignified life. Let's advocate for policies that prioritize care over profit and ensure no one gets left behind.  It’s time to make #HealthcareForAll a reality. 💙 📢 How can YOU take action?  Call your representatives.""", 1
1866557248048189467,"""Luigi Mangione's manifesto mentioned that corporations have abused our nation for profit. The US not only needs a universal healthcare system like most other nations, but we need our corrupt economic system to change so all people will benefit.  #LuigiMangione  #HealthcareForAll""", 1
1866534367343898841,"""Great piece of work here by @Lucy_Selman @AGoodDeath @UshaGrieve @subcotrust @GGC_Bristol   A project with wide-reaching impact, addressing some of the inequities in healthcare 👏🏽👏🏽👏🏽  #HealthcareForAll #EOLC #PalliMed https://t.co/Gwnfa2vnT6""", 1
1866527052867772803,"""🏥 Healthcare should be a right, not a privilege. Let's make it equitable! #HealthcareForAll #HealthEquity""", 1
1866523855797231770,""""" @GovPritzker signs law banning health insurance companies’ ‘predatory tactics,’ including step therapy""  This is amazing news for anyone who has ever had to ""fail"" a Rx first, or beg MDs to write exemptions!  #Illinois #chicago #HealthcareForAll #UHC https://t.co/rLv7KG7MXO""", 1
1866501402765508708,"""#HealthcareForAll I just wonder if now the greedy healthcare companies will change their policies and start paying ALL healthcare claims and not the 2 out of 3 filed claims. The government and corporate shareholders need to get the hell out of the doctors office’s""", 1
1866470188918374767,"""Healthcare is a human right, not a privilege. Luigi Mangione stood for justice and is now unjustly imprisoned. Fight back!  #FreeLuigiMangione #HealthcareForAll""", 1
1866449826231234758,"""Every Canadian deserves access to quality healthcare—without long wait times. It’s time to strengthen our healthcare system for all. #HealthCareForAll #CdnHealth""", 1
1866414748897538455,"""@Obi_Obadike Deeply disappointing!😕 Profit over people's health? Shameful! #HealthcareForAll (129 characters)""", 1
1866392113920794969,"""@Obi_Obadike Deeply disheartening! Profiting from sickness isn't human. #HealthcareForAll (143 characters)""", 1
1866391357771690405,"""@Obi_Obadike Deeply disappointing! Profits over people's health? Unacceptable! #HealthcareForAll (136 characters)""", 1
1866387363574014035,"""The audiences of #BenShapiro &amp; #MattWalsh call out their #grift &amp; point out they sow division &amp; that #HealthcareForAll is not #LeftWing or #RightWing, it is #TheRightThing for All... #MedicareForAllNow! #UniteTheLeftAndTheRight! #UniteWorkers! #Organize!   https://t.co/gMrmMtPTSc""", 1
1866328220490248371,"""@Obi_Obadike I'm truly dismayed!💔 Profiting from sickness is just wrong.#HealthcareForAll #HealingNotProfit #150chars""", 1
1866297676754571608,"""@Obi_Obadike Disappointing truth, isn't it? Profiting from ill-health is truly a sad reality. #HealthcareForAll 💔 #HealingNeeded #KeepFighting #150chars""", 1
1866265974791700484,"""@1872_Reece_ @debunkdafunk @wolsned You believe #ClimateChange is man-made from excessive CO2 and if we don't lower the CO2 level it means catastrophe for life on earth?   Let's get to baseline first.""", 1
