"""RT @katea76: under this albanese labor gov i have received a tax cut, wage rise, local satellite hospital, energy rebate, cheaper medicine,…""", 0
"""RT @texnbob1: @elonmusk Trickle down effect of HORRIFICALLY incompetent leadership results in...DISASTERS like this...""", 0
"""@StockPatternPro WHAT TAX CUT, YOU MORON? 🤡  TRUMP IS GONNA BUY GREENLAND AND THAT IS YOU WHO WILL PAY FOR IT""", 0
"""RT @JoJoFromJerz: His tax cut for the rich saddled our country with the 3rd largest debt increase in our nation’s history and he left offic…""", 1
"""@BSBG0731 Well if you hear ""Major Tax Cut"" for the American people the day after you'll know who's thinking ahead.""", 1
"""RT @AndrewW43599783: As we learn an investigation has revealed Loblaw, Sobeys, and Walmart overcharging customers by selling underweighted…""", 1
"""@EricLDaugh The claims are not false. California has a rich history of mismanaging water. Newsome has only made it worse. California voters get what they deserve. Newsome is a terrible governor for everyone but those rich enough to not be affected by his tax and waste policies.""", 0
"""RT @JoJoFromJerz: His tax cut for the rich saddled our country with the 3rd largest debt increase in our nation’s history and he left offic…""", 0
"""RT @TheDemCoalition: This is a great point 👇  Corporations spend big money lobbying against universal healthcare because it saves billions…""", 0
"""RT @UniteSharon: How can the @GOVUK take away the #winterfuelpayment from vulnerable pensioners and leave the super rich completely untouch…""", 0
"""@zarahsultana Cut that crap, all you do is looking for excuses to rip people off, like another tax can stop the “global my arse warming” 🤦‍♂️""", 0
"""RT @TheGreenParty: ""That means we have to tax both rich individuals and multinational companies so that money is available...""  @natalieben…""", 0
"""Seems that the “tax the rich” war cry is drowned out, paradoxically, by those who’ll likely not “make more monie”, considering all the get rich-scheme grifters and motivational-speaking scammers plying their trades, making bank off their marks. Don’t do delusional! #makemoremoney""", 0
"""RT @Roadmaster1253: DONALD TRUMP IS JEALOUS OF PRESIDENT #JOEBIDEN BECAUSE BIDEN HAS GOTTEN BIG LEGISLATION DONE FOR THE AMERICAN PEOPLE AN…""", 1
