1876412649895805015,3308920474,2025-01-06T23:36:52.000Z,"""@Rafa_Schwinger 3-4 billion economically unnecessary, wealth-negative #bullshitjobs are wasting most of our resources, energy and fossil fuels. Causing #climatechange and inflation.  The purpose of an economy is to create wealth. Not to maximize employment. Two very different things in 2025."""
1876409768937394524,1096724430087208960,2025-01-06T23:25:25.000Z,"""Thomas Built Buses Unveils Second Generation Electric School Bus https://t.co/GRvErTOnaN #Tesla #EV #ClimateChange #Renewables #RenewableEnergy"""
1876406368376324501,829686763723436034,2025-01-06T23:11:54.000Z,"""Jimmy Carter raised climate change concerns 35 years before the Paris Accords #Climatechange #Energyindustry #Renewableenergy https://t.co/bbTTapMznG"""
1876397921245020234,296233891,2025-01-06T22:38:20.000Z,"""#Russia  Comment: 01062024 I'm 100% behind #Ukraine. There us a  #ClimateChange, #EconomicAngle Regarding #LNG it is important to know that during shipping transport some of the cargo is lost as #methane, ( 20x worse than CO2)  #GreenHouseGas into the air. The longer the… https://t.co/LSXendvZjp https://t.co/NUhoP50qXV"""
1876397860947972405,296233891,2025-01-06T22:38:06.000Z,"""#Russia  Comment: 01062024 I'm 100% behind #Ukraine. There us a  #ClimateChange, #EconomicAngle Regarding #LNG it is important to know that during shipping transport some of the cargo is lost as #methane, ( 20x worse than CO2)  #GreenHouseGas into the air. The longer the… https://t.co/6Rkj4GfYLe https://t.co/NUhoP50YNt"""
1876396617131000135,18595207,2025-01-06T22:33:09.000Z,"""I'm sure it'll be fine. #ClimateChange https://t.co/9m6JK6Pow4"""
1876396326239301705,1096724430087208960,2025-01-06T22:32:00.000Z,"""Toyota Wants 2,000 People To Live In Its City For 'Inventors' https://t.co/BAMn0UxuYt #ElectricVehicles #Tesla #EV #Renewables #ClimateChange #RenewableEnergy"""
1876393403166195771,552178363,2025-01-06T22:20:23.000Z,"""@JeffCriswell01 @AjayRedonkulus @AP Is it snowing there?  Are you warm in your mom's basement?   #ClimateChange"""
1876391019429998931,1486790232,2025-01-06T22:10:55.000Z,"""@kinsellawarren But #Carney will win the next election, as #Poilievre seems to know.  It explains targeting Carney on oil pipelines (with no reference to #climatechange), and hyper-partisan attack saying no Liberals, full stop. Rather like Reform/CA/NDP ""Liberal Tory same old story."" Oops!"""
1876389450370134280,590788952,2025-01-06T22:04:41.000Z,"""#ClimateChange fight needs a hard changes in human kind of life https://t.co/GGbVH8zYVi and nobody want to make thiese #ClimateCatastrophe #ClimateCrisisHypocrisy  How to tackle your inner climate denier https://t.co/bEWVjWOEla via @ft"""
